self_kindness,common_humanity,mindfulness,self_judgment,isolation,over_identification,scs_total_score
14,11,10,15,16,14,68
15,9,10,16,11,11,74
19,16,16,13,12,8,96
10,11,9,15,14,11,68
11,10,9,18,13,14,63
9,8,10,19,16,17,53
19,12,8,11,11,20,75
13,12,12,15,11,15,74
23,19,20,9,5,7,119
5,4,8,25,20,20,30
14,13,15,17,14,15,74
22,18,15,11,11,16,95
10,6,6,23,17,18,42
20,15,17,10,6,6,108
13,15,11,13,10,14,80
17,10,13,8,7,11,92
12,12,9,14,12,13,72
5,7,8,25,20,19,34
9,10,11,17,15,11,65
16,13,15,12,14,10,86
15,16,12,24,19,19,59
10,10,14,18,14,10,70
14,17,16,18,10,8,89
10,8,9,21,18,16,50
9,11,11,21,13,14,61
22,16,15,11,15,11,94
19,14,15,10,7,8,101
20,19,12,22,12,18,77
15,13,11,20,12,14,71
19,14,15,14,11,14,87
9,7,9,24,17,16,46
10,10,7,19,13,11,62
17,13,14,17,17,12,76
10,16,8,23,15,18,56
15,16,15,17,12,14,81
6,7,10,23,14,15,49
20,17,15,13,17,8,92
18,14,16,11,11,12,92
6,9,16,9,11,9,80
21,10,11,9,7,9,95
11,9,8,11,10,10,75
12,9,9,15,14,15,64
11,15,12,21,15,12,68
18,13,13,18,16,16,72
16,13,12,18,16,15,70
15,10,14,15,11,13,78
11,12,16,25,17,15,60
24,10,19,8,5,5,113
15,14,17,20,11,10,83
15,13,11,20,12,14,71
13,12,10,18,14,16,65
15,10,12,20,17,18,60
9,8,15,19,11,9,71
14,16,16,19,7,14,84
20,15,16,13,7,7,102
10,7,6,25,20,17,39
14,12,14,17,19,14,68
13,11,10,25,19,19,49
6,4,10,21,18,13,46
10,12,17,23,15,12,67
25,18,16,5,6,9,117
19,17,20,21,16,19,78
9,7,7,21,15,17,48
14,13,12,19,16,17,65
11,14,14,23,20,19,55
9,10,10,22,15,16,54
16,11,13,10,9,10,89
13,14,11,18,14,15,69
13,10,11,19,16,14,63
19,17,16,15,10,9,96
13,5,12,15,9,10,74
5,4,5,23,17,15,37
13,15,11,13,10,14,80
22,14,12,14,10,13,89
12,12,8,21,17,19,53
17,18,16,12,9,11,97
16,8,7,17,16,20,56
25,16,20,6,6,8,119
20,15,16,13,7,7,102
19,14,16,16,18,14,79
15,13,11,11,12,9,85
6,8,8,22,20,19,39
17,15,9,15,12,14,78
19,13,17,8,13,9,97
16,11,13,10,9,10,89
11,7,6,22,19,18,43
13,11,12,16,16,15,67
21,10,16,10,16,11,88
22,13,17,10,15,12,93
5,4,4,25,20,20,26
8,7,8,25,12,20,44
10,10,9,13,8,11,75
12,10,9,18,18,14,59
14,11,12,15,16,13,71
15,18,12,10,8,17,88
16,10,13,15,10,11,81
12,8,12,18,15,19,58
17,10,7,23,18,16,55
23,12,16,14,4,6,105
8,13,12,23,15,19,54
13,15,13,14,10,11,84
16,18,16,17,8,11,92
18,12,14,14,13,14,81
23,11,14,11,17,13,85
14,8,7,14,17,13,63
17,11,4,16,9,16,69
10,9,13,23,19,14,54
5,11,14,23,17,10,58
24,17,12,10,14,12,95
7,7,6,21,16,19,42
10,12,17,23,15,12,67
24,17,17,13,13,11,99
5,4,4,5,4,4,78
17,14,19,19,13,13,83
19,17,16,10,14,8,98
12,11,14,15,12,14,74
21,18,12,15,11,9,94
14,19,15,13,12,12,89
6,5,5,25,20,20,29
21,18,17,22,18,18,76
23,19,18,14,4,7,113
